MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,Fence,MoSold,SaleType,SaleCondition,age_of_house
120,RH,3.295836866004329,8.675734219544788,NA,IR1,Lvl,FR2,NAmes,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,MetalSd,MetalSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.9584483932976555,BLQ,0.0,354.0,7.2485040723706105,Ex,Y,SBrkr,7.198931240688173,0,7.198931240688173,1.0,0.0,2,0,2,Gd,5,1,Fa,Attchd,Fin,511.0,TA,Y,5.318119993844216,4.23410650459726,0.0,0.0,NA,6,WD,Normal,11
160,RM,3.091042453358316,7.427144133408616,NA,Reg,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,202.0,TA,TA,CBlock,TA,TA,No,Rec,5.056245805348308,Unf,0.0,327.0,6.182084906716632,TA,Y,SBrkr,6.182084906716632,504,6.895682697747868,0.0,0.0,1,1,2,TA,5,0,NA,Detchd,Unf,264.0,TA,Y,5.62040086571715,0.0,0.0,0.0,NA,2,COD,Normal,39
160,RM,3.091042453358316,7.427144133408616,NA,Reg,Lvl,Inside,BrDale,Norm,Twnhs,2Story,5,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,202.0,TA,TA,CBlock,TA,TA,No,Rec,5.707110264748875,Unf,0.0,225.0,6.26530121273771,TA,Y,SBrkr,6.26530121273771,567,6.996681488176539,0.0,0.0,1,1,3,TA,6,0,NA,Detchd,Unf,320.0,TA,Y,0.0,0.0,0.0,0.0,NA,3,WD,Normal,39
160,RL,3.2188758248682006,7.732369222284388,NA,Reg,Lvl,FR2,NPkVill,Norm,Twnhs,2Story,6,6,1975,1975,Gable,Plywood,Brk Cmn,NA,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.244166900663736,Unf,0.0,341.0,6.752270376141742,TA,Y,SBrkr,6.752270376141742,601,7.284134806195205,0.0,0.0,2,1,3,Gd,6,1,TA,Attchd,Unf,440.0,TA,Y,5.159055299214529,0.0,0.0,0.0,NA,6,WD,Normal,35
120,RL,3.2188758248682006,7.732369222284388,NA,Reg,Lvl,FR2,NPkVill,Norm,Twnhs,1Story,7,6,1975,1975,Gable,Plywood,Brk Cmn,NA,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,6.729824070489475,Ex,Y,SBrkr,6.729824070489475,0,6.729824070489475,0.0,0.0,1,0,2,TA,4,0,NA,Attchd,Unf,308.0,TA,Y,0.0,3.4339872044851463,0.0,0.0,NA,6,WD,Normal,35
60,RL,4.634728988229636,9.461799234270439,NA,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,2009,2010,Gable,VinylSd,VinylSd,Stone,206.5,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,7.372118028337787,Ex,Y,SBrkr,7.395107546562485,707,7.755767170102998,0.0,0.0,2,1,3,Ex,10,1,Gd,Attchd,Fin,751.0,TA,Y,4.976733742420574,4.897839799950911,0.0,0.0,NA,1,New,Partial,1
20,RL,4.553876891600541,9.46374151045109,NA,IR1,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,5,2009,2010,Gable,VinylSd,VinylSd,Stone,206.5,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1544.0,7.3427791893318455,Ex,Y,SBrkr,7.3427791893318455,0,7.3427791893318455,0.0,0.0,2,0,3,Gd,7,0,NA,Attchd,RFn,868.0,TA,Y,0.0,3.58351893845611,0.0,0.0,NA,6,New,Partial,1
20,RL,4.51085950651685,9.351926736038054,NA,Reg,Lvl,Inside,NridgHt,PosN,1Fam,1Story,9,5,2005,2005,Hip,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Ex,TA,No,GLQ,4.709530201312334,Unf,0.0,1588.0,7.4377951216719325,Ex,Y,SBrkr,7.4377951216719325,0,7.4377951216719325,0.0,0.0,2,0,3,Ex,7,1,Gd,Attchd,Fin,730.0,TA,Y,5.262690188904886,4.31748811353631,0.0,0.0,NA,6,WD,Normal,5
20,RL,4.382026634673881,9.555559953069064,NA,IR1,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2005,2006,Hip,CemntBd,CmentBd,BrkFace,202.0,Gd,TA,PConc,Ex,TA,No,GLQ,3.367295829986474,Unf,0.0,1794.0,7.508238774678663,Ex,Y,SBrkr,7.508238774678663,0,7.508238774678663,0.0,0.0,2,0,3,Ex,8,1,Gd,Attchd,RFn,678.0,TA,Y,0.0,4.787491742782046,0.0,0.0,NA,2,WD,Normal,5
20,RL,4.709530201312334,9.568084743872936,NA,Reg,HLS,Inside,NridgHt,Norm,1Fam,1Story,9,5,2003,2004,Hip,VinylSd,VinylSd,BrkFace,202.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,7.2254814727822945,Unf,0.0,1473.0,7.954021087278037,Ex,Y,SBrkr,7.89989532313973,0,7.89989532313973,1.0,0.0,2,1,3,Ex,10,2,Gd,Attchd,Fin,958.0,TA,Y,5.3981627015177525,5.017279836814924,0.0,0.0,NA,6,WD,Normal,7
60,RL,4.663439094112067,9.521568058002977,NA,Reg,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2002,2002,Gable,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,6.361302477572996,Unf,0.0,1093.0,7.421775793644647,Ex,Y,SBrkr,7.431299675155903,563,7.719129840906732,1.0,0.0,2,1,3,Gd,7,1,Ex,Attchd,Fin,756.0,TA,Y,5.476463551931511,4.875197323201151,0.0,0.0,NA,6,WD,Normal,8
120,RL,3.7376696182833684,8.872487182278038,NA,IR1,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,206.5,Gd,TA,PConc,Gd,TA,Mn,GLQ,3.2188758248682006,Unf,0.0,1346.0,7.223295679562314,Ex,Y,SBrkr,7.223295679562314,0,7.223295679562314,0.0,0.0,2,0,2,Gd,6,1,Gd,Attchd,RFn,484.0,TA,Y,4.795790545596741,3.912023005428146,0.0,0.0,NA,4,WD,Normal,4
20,RL,4.61512051684126,9.825255704266555,NA,IR1,Lvl,Corner,Gilbert,Norm,1Fam,1Story,6,5,2005,2005,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,7.1891677384203225,Ex,Y,SBrkr,7.1891677384203225,0,7.1891677384203225,0.0,0.0,2,0,3,Gd,6,0,NA,Attchd,Fin,430.0,TA,Y,3.6109179126442243,3.1780538303479458,0.0,0.0,NA,1,WD,Normal,5
120,RL,3.784189633918261,8.07215530818825,NA,Reg,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,Av,GLQ,2.833213344056216,Unf,0.0,1129.0,7.044032897274685,Ex,Y,SBrkr,7.044032897274685,0,7.044032897274685,0.0,0.0,2,0,2,Gd,6,0,NA,Attchd,Fin,437.0,TA,Y,4.61512051684126,4.762173934797756,0.0,0.0,NA,1,WD,Normal,4
80,RL,4.219507705176107,9.495594499353297,NA,IR1,Lvl,Inside,Gilbert,Norm,1Fam,SLvl,7,5,2004,2004,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,5.7899601708972535,Unf,0.0,58.0,5.953243334287785,Ex,Y,SBrkr,6.61338421837956,630,7.226209010100671,1.0,0.0,2,1,3,Gd,7,1,Gd,BuiltIn,Fin,400.0,TA,Y,4.61512051684126,0.0,0.0,0.0,NA,6,WD,Normal,6
60,RL,4.1588830833596715,9.056956065076825,NA,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,847.0,6.742880635791903,Ex,Y,SBrkr,6.742880635791903,886,7.458186157340487,0.0,0.0,2,1,3,Gd,7,1,Gd,BuiltIn,Fin,433.0,TA,Y,4.976733742420574,3.8918202981106265,0.0,0.0,NA,4,WD,Normal,6
60,RL,4.110873864173311,9.76617760157152,NA,IR2,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,8,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1629.0,7.396335293800808,Ex,Y,SBrkr,7.406103381237015,830,7.814399633804487,0.0,0.0,2,1,4,Gd,7,1,TA,Attchd,Fin,962.0,TA,Y,3.1780538303479458,5.153291594497779,0.0,0.0,NA,1,WD,Normal,12
20,RL,4.30406509320417,9.10364563330522,NA,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,NA,Unf,0.0,Unf,0.0,1595.0,7.3752557780097545,Ex,Y,SBrkr,7.3752557780097545,0,7.3752557780097545,0.0,0.0,2,0,2,Gd,6,1,Gd,Attchd,RFn,880.0,TA,Y,4.976733742420574,0.0,0.0,0.0,NA,5,WD,Normal,5
20,FV,4.532599493153256,9.128696382935672,NA,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,7,5,2009,2010,Hip,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1218.0,7.105786129481271,Ex,Y,SBrkr,7.105786129481271,0,7.105786129481271,0.0,0.0,2,0,2,Gd,4,0,NA,Attchd,RFn,676.0,TA,Y,0.0,4.919980925828125,0.0,0.0,NA,4,New,Partial,1
20,FV,4.442651256490317,9.25349564229011,NA,Reg,Lvl,Corner,Somerst,Norm,1Fam,1Story,6,5,2005,2005,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,7.254884810077338,Unf,0.0,54.0,7.292337176173877,Ex,Y,SBrkr,7.292337176173877,0,7.292337176173877,1.0,0.0,2,0,2,Gd,6,1,Gd,Attchd,Fin,528.0,TA,Y,0.0,4.634728988229636,0.0,0.0,NA,5,WD,Normal,5
60,RL,4.2626798770413155,9.386056829718001,NA,Reg,Lvl,Inside,SawyerW,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,831.0,6.723832440821209,Ex,Y,SBrkr,6.723832440821209,828,7.414572881350589,0.0,0.0,2,1,3,Gd,8,0,NA,Attchd,RFn,484.0,TA,Y,4.976733742420574,4.23410650459726,0.0,0.0,NA,4,WD,Normal,6
30,RH,4.2626798770413155,9.19023970026918,NA,Reg,Lvl,Corner,SawyerW,Feedr,1Fam,1Story,5,5,1920,1950,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,816.0,6.705639094860003,TA,N,FuseA,6.920671504248683,0,6.920671504248683,0.0,0.0,1,0,2,TA,5,0,NA,Detchd,Unf,429.0,TA,Y,4.804021044733257,0.0,4.394449154672439,0.0,NA,4,WD,Normal,90
20,RL,3.6888794541139363,9.642836819135377,NA,IR1,Lvl,CulDSac,Sawyer,RRNe,1Fam,1Story,6,6,1974,2002,Hip,Plywood,Plywood,BrkCmn,250.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,4.844187086458591,GLQ,6.756932389247553,223.0,7.097548850614793,Ex,Y,SBrkr,7.3098814858247865,0,7.3098814858247865,1.0,0.0,2,0,3,TA,7,2,Fa,Attchd,Fin,461.0,TA,Y,5.6937321388027,0.0,5.231108616854587,0.0,GdPrv,4,WD,Abnorml,36
60,RL,4.454347296253507,9.483720659717104,NA,IR1,Lvl,Inside,NoRidge,Norm,1Fam,2Story,8,5,1993,1993,Gable,HdBoard,ImStucc,BrkFace,202.0,Gd,TA,PConc,Gd,TA,No,LwQ,5.5254529391317835,GLQ,6.889591308354466,0.0,7.116394144093465,Ex,Y,SBrkr,7.132497551660044,1098,7.762170607138205,1.0,0.0,2,1,4,Gd,9,1,TA,Attchd,RFn,762.0,TA,Y,3.4965075614664802,4.875197323201151,0.0,0.0,NA,6,WD,Normal,17
60,RL,4.48863636973214,9.317848579691468,NA,Reg,Lvl,Inside,NoRidge,Norm,1Fam,2Story,8,5,1992,1993,Gable,HdBoard,HdBoard,BrkFace,202.0,Gd,TA,PConc,Gd,TA,No,GLQ,7.029972911706386,Unf,0.0,261.0,7.237778191923443,Ex,Y,SBrkr,7.246368080102461,823,7.70796153183549,1.0,0.0,2,1,4,Gd,7,1,TA,Attchd,RFn,713.0,TA,Y,5.293304824724492,3.4339872044851463,0.0,0.0,NA,6,WD,Normal,18
120,FV,3.258096538021482,8.483843211734683,NA,IR1,Lvl,CulDSac,Somerst,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,MetalSd,MetalSd,NA,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,7.1693500166706,Unf,0.0,190.0,7.305860032684009,Ex,Y,SBrkr,7.305860032684009,0,7.305860032684009,1.0,0.0,2,0,2,Gd,6,1,Gd,Attchd,Fin,506.0,TA,Y,5.1298987149230735,3.9318256327243257,0.0,0.0,NA,3,WD,Normal,6
160,FV,3.6888794541139363,8.165079258805068,Pave,Reg,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,840.0,6.734591659972948,Ex,Y,SBrkr,6.734591659972948,840,7.427144133408616,0.0,0.0,2,1,2,Gd,3,0,NA,Attchd,RFn,588.0,TA,Y,0.0,4.718498871295094,0.0,0.0,NA,1,WD,Normal,6
160,FV,3.4339872044851463,8.075893630298857,Pave,Reg,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,MetalSd,MetalSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,Av,GLQ,5.638354669333745,Unf,0.0,320.0,6.398594934535208,Ex,Y,SBrkr,6.398594934535208,600,7.0909098220799835,0.0,0.0,2,1,2,Gd,4,0,NA,Detchd,RFn,480.0,TA,Y,0.0,5.153291594497779,0.0,0.0,NA,4,ConLD,Normal,6
160,FV,3.2188758248682006,7.841885928984623,Pave,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,5.910796644040527,ALQ,3.7612001156935624,190.0,6.398594934535208,Ex,Y,SBrkr,6.398594934535208,600,7.0909098220799835,1.0,0.0,2,1,2,Gd,4,0,NA,Detchd,RFn,480.0,TA,Y,0.0,5.153291594497779,0.0,0.0,NA,2,WD,Normal,6
160,FV,3.2188758248682006,7.841885928984623,Pave,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,6,5,2005,2005,Gable,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,No,GLQ,5.932245187448011,Unf,0.0,224.0,6.398594934535208,Ex,Y,SBrkr,6.398594934535208,636,7.1204443723924875,1.0,0.0,2,1,2,Gd,4,0,NA,Detchd,RFn,480.0,TA,Y,0.0,5.117993812416755,0.0,0.0,NA,5,WD,Normal,5
160,FV,4.310799125385514,8.000014093678072,NA,Reg,Lvl,Corner,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.1463292576688975,Unf,0.0,290.0,6.6293632534374485,Ex,Y,SBrkr,6.6293632534374485,756,7.321849713788356,1.0,0.0,2,1,2,Gd,5,0,NA,Detchd,Unf,440.0,TA,Y,0.0,3.4965075614664802,0.0,0.0,NA,5,WD,Normal,10
160,FV,4.310799125385514,7.784889295655098,NA,IR1,Lvl,FR2,Somerst,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,5.501258210544727,Unf,0.0,286.0,6.274762021241939,Ex,Y,SBrkr,6.274762021241939,550,6.985641817639208,0.0,0.0,2,1,2,Gd,4,0,NA,Attchd,RFn,496.0,TA,Y,0.0,3.9318256327243257,0.0,0.0,NA,6,WD,Normal,7
20,FV,4.060443010546419,9.461410325931231,Pave,IR1,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2010,2010,Gable,CemntBd,CmentBd,NA,0.0,Gd,TA,PConc,Ex,Po,No,GLQ,6.940222469119639,Unf,0.0,610.0,7.404279118037268,Ex,Y,SBrkr,7.257707677160043,0,7.257707677160043,1.0,0.0,1,1,1,Gd,6,1,Gd,Attchd,RFn,852.0,TA,Y,5.081404364984463,5.262690188904886,0.0,5.41610040220442,NA,4,New,Partial,0
60,FV,4.23410650459726,8.906528917594517,NA,IR1,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.184148890937483,Unf,0.0,491.0,6.883462586413092,Ex,Y,SBrkr,6.883462586413092,873,7.522400231387125,1.0,0.0,2,1,3,Gd,7,1,TA,Attchd,RFn,592.0,TA,Y,5.638354669333745,5.220355825078324,0.0,0.0,NA,4,WD,Normal,10
20,FV,4.394449154672439,8.987321812850125,NA,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,7,5,2002,2002,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.726233402358747,Unf,0.0,659.0,7.30854279753919,Ex,Y,SBrkr,7.30854279753919,0,7.30854279753919,1.0,0.0,2,0,3,Gd,6,1,Gd,Attchd,RFn,596.0,TA,Y,5.627621113690637,4.927253685157205,0.0,0.0,NA,4,WD,Normal,8
20,RL,4.394449154672439,9.25502688959859,NA,IR1,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,6,1967,1967,Hip,HdBoard,HdBoard,BrkFace,202.0,TA,TA,CBlock,TA,TA,No,GLQ,6.2285110035911835,Unf,0.0,1323.0,7.512071245835466,Gd,Y,SBrkr,7.512071245835466,0,7.512071245835466,1.0,0.0,2,0,4,TA,8,0,NA,Attchd,RFn,535.0,TA,Y,0.0,4.343805421853684,0.0,0.0,NA,5,WD,Normal,43
60,RL,4.394449154672439,9.286560397887591,NA,Reg,Lvl,Inside,NWAmes,Norm,1Fam,2Story,6,5,1993,1993,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,7.037027614686276,Unf,0.0,143.0,7.155396301896734,Ex,Y,SBrkr,7.155396301896734,1215,7.822444729489319,1.0,0.0,2,1,4,Gd,9,1,TA,Attchd,Unf,660.0,TA,Y,5.41610040220442,3.4965075614664802,0.0,0.0,NA,3,WD,Normal,17
50,RL,4.394449154672439,9.843631385382762,NA,IR1,Lvl,Inside,NWAmes,Norm,1Fam,1.5Fin,6,5,1978,1978,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,PConc,Gd,TA,Mn,ALQ,6.5337888379333435,LwQ,3.8501476017100584,491.0,7.110696122978827,TA,Y,SBrkr,7.160845906664299,604,7.545389749611823,0.0,0.6931471805599453,3,0,3,TA,7,1,TA,Attchd,RFn,678.0,TA,Y,0.0,4.248495242049359,0.0,0.0,NA,4,WD,Normal,32
60,RL,4.394449154672439,9.169622538697624,NA,Reg,Lvl,Inside,NWAmes,Norm,1Fam,2Story,6,6,1971,1971,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,No,ALQ,5.799092654460526,Unf,0.0,386.0,6.573680166960646,TA,Y,SBrkr,6.836259277277067,715,7.406103381237015,0.0,0.0,1,2,4,TA,7,0,NA,Attchd,RFn,441.0,TA,Y,0.0,4.3694478524670215,0.0,0.0,GdWo,6,WD,Normal,39
20,RL,4.394449154672439,9.169622538697624,NA,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1966,1966,Hip,VinylSd,VinylSd,BrkFace,202.0,TA,TA,CBlock,TA,TA,No,Rec,6.54965074223381,Unf,0.0,534.0,7.117205503164344,TA,Y,SBrkr,7.117205503164344,0,7.117205503164344,1.0,0.0,1,1,3,TA,6,0,NA,Attchd,RFn,490.0,TA,Y,0.0,5.41610040220442,0.0,0.0,NA,4,WD,Normal,44
20,RL,4.51085950651685,9.200391041122515,NA,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,5,1966,1966,Hip,HdBoard,HdBoard,NA,0.0,TA,TA,PConc,Gd,TA,No,BLQ,6.966024187106113,Unf,0.0,150.0,7.098375638590786,Gd,Y,SBrkr,7.098375638590786,0,7.098375638590786,1.0,0.0,1,0,3,TA,6,0,NA,Attchd,RFn,504.0,TA,Y,0.0,0.0,4.795790545596741,0.0,NA,4,ConLD,Normal,44
